read2_code,icd10_code,phecode
B3022,C41.2,170.1
B302z,C41.2,170.1
B3032,C41.3,170.1
B3054,C40.1,170.1
B305C,C40.0,170.1
B306.,C41.4,170.1
B3063,C41.4,170.1
B307.,C40.2,170.1
B3070,C40.2,170.1
B3072,C40.2,170.1
B30z.,C41.9,170.1
B30z0,C41.9,170.1
B3102,C49.0,170.2
B3103,C49.0,170.2
B311.,C49.1,170.2
B3110,C49.1,170.2
B312.,C49.2,170.2
B3121,C49.2,170.2
B312z,C49.2,170.2
B3133,C49.3,170.2
B3141,C49.6,170.2
B3150,C49.5,170.2
B315z,C49.5,170.2
B31z.,C49.9,170.2
B32..,C43.9,172.11
B320.,C43.0,172.11
B321.,C43.1,172.11
B322.,C43.2,172.11
B3220,C43.2,172.11
B3230,C43.3,172.11
B3232,C43.3,172.11
B3233,C43.3,172.11
B3235,C43.3,172.11
B323z,C43.3,172.11
B3240,C43.4,172.11
B3241,C43.4,172.11
B325.,C43.5,172.11
B3251,C43.5,172.11
B3253,C43.5,172.11
B3257,C43.5,172.11
B3258,C43.5,172.11
B325z,C43.5,172.11
B326.,C43.6,172.11
B3260,C43.6,172.11
B3261,C43.6,172.11
B3262,C43.6,172.11
B3263,C43.6,172.11
B3265,C43.6,172.11
B326z,C43.6,172.11
B327.,C43.7,172.11
B3271,C43.7,172.11
B3274,C43.7,172.11
B3275,C43.7,172.11
B3277,C43.7,172.11
B327z,C43.7,172.11
B32y.,C43.9,172.11
B32z.,C43.9,172.11
B33..,C44.9,172.2
B330.,C44.0,172.2
B331.,C44.1,172.2
B3310,C44.1,172.2
B332.,C44.2,172.2
B3320,C44.2,172.2
B3322,C44.2,172.2
B333.,C44.3,172.2
B3330,C44.3,172.2
B3331,C44.3,172.2
B3332,C44.3,172.2
B3333,C44.3,172.2
B3334,C44.3,172.2
B3335,C44.3,172.2
B333z,C44.3,172.2
B334.,C44.4,172.2
B3340,C44.4,172.2
B3341,C44.4,172.2
B335.,C44.5,172.2
B3351,C44.5,172.2
B3352,C44.5,172.2
B3353,C44.5,172.2
B3357,C44.5,172.2
B3359,C44.5,172.2
B336.,C44.6,172.2
B3360,C44.6,172.2
B3362,C44.6,172.2
B3371,C44.7,172.2
B3374,C44.7,172.2
B3379,C44.7,172.2
B337z,C44.7,172.2
B338.,C44.9,172.2
B339.,C44.9,172.2
B33y.,C44.9,172.2
B33z.,C44.9,172.2
B33z1,C44.9,172.2
B34..,C50,174.11
B340.,C50.0,174.11
B3400,C50.0,174.11
B3401,C50.0,174.11
B341.,C50.1,174.11
B342.,C50.2,174.11
B343.,C50.3,174.11
B344.,C50.4,174.11
B345.,C50.5,174.11
B346.,C50.6,174.11
B347.,C50.8,174.11
B34y.,C50.9,174.11
B34yz,C50.9,174.11
B34z.,C50.9,174.11
B35..,C50.9,174.11
B36..,C50.9,174.11
B40..,C55,182.0
B41..,C53.9,180.1
B410.,C53.0,180.1
B4100,C53.0,180.1
B410z,C53.0,180.1
B411.,C53.1,180.1
B41y.,C53.9,180.1
B41yz,C53.9,180.1
B41z.,C53.9,180.1
B420.,C58,184.1
B43..,C54.9,182.0
B4302,C54.1,182.0
B4303,C54.2,182.0
B4310,C54.0,182.0
B43y.,C54.9,182.0
B43z.,C54.9,182.0
B44..,C57.8,184.1
B440.,C56,184.11
B441.,C57.0,184.1
B45..,C57.9,184.1
B450.,C52,184.2
B451.,C51.0,184.2
B454.,C51.9,184.2
B45z.,C57.9,184.1
B46..,C61,185.0
B47..,C62.9,187.2
B470.,C62.0,187.2
B4702,C62.0,187.2
B4703,C62.0,187.2
B4710,C62.1,187.2
B4711,C62.1,187.2
B47z.,C62.9,187.2
B481.,C60.1,187.1
B483.,C60.9,187.1
B49..,C67.9,189.21
B492.,C67.2,189.21
B493.,C67.3,189.21
B494.,C67.4,189.21
B496.,C67.6,189.21
B498.,C67.9,189.21
B49y.,C67.9,189.21
B49z.,C67.9,189.21
B4A..,C64,189.11
B4A0.,C64,189.11
B4A00,C64,189.11
B4A1.,C65,189.12
B4A10,C65,189.12
B4A1z,C65,189.12
B4A2.,C66,189.4
B4Az.,C68.9,189.4
B50..,C69.9,190.0
B5000,C69.4,190.0
B5001,C69.4,190.0
B5003,C69.4,190.0
B501.,C69.6,190.0
B506.,C69.3,190.0
B509.,C69.9,190.0
B50z.,C69.9,190.0
B51..,C71.9,191.11
B511.,C71.1,191.11
B512.,C71.2,191.11
B516.,C71.6,191.11
B51y.,C71.9,191.11
B51z.,C71.9,191.11
B521.,C70.0,191.1
B522.,C72.0,191.1
B525.,C72.1,191.1
B52z.,C72.9,191.1
B53..,C73,193.0
B540.,C74.9,194.0
B5400,C74.0,194.0
B540z,C74.9,194.0
B5420,C75.1,194.0
B5421,C75.2,194.0
B55..,C76,195.1
B550.,C76.0,195.3
B5500,C76.0,195.3
B5501,C76.0,195.3
B5504,C76.0,195.3
B5510,C76.1,164.0
B552.,C76.2,195.1
B555.,C76.5,195.1
B55y.,C76.7,195.1
B55y0,C76.7,195.1
B55yz,C76.7,195.1
B55z.,C76.7,195.1
B56..,C77.9,198.1
B560.,C77.0,198.1
B5602,C77.0,198.1
B5613,C77.1,198.1
B562z,C77.2,198.1
B563.,C77.3,198.1
B5630,C77.3,198.1
B5640,C77.4,198.1
B56z.,C77.9,198.1
B57..,C78.8,198.3
B570.,C78.0,198.2
B572.,C78.2,198.2
B575.,C78.5,198.3
B5761,C78.6,198.3
B5762,C78.6,198.3
B577.,C78.7,198.4
B57y.,C78.8,198.3
B58..,C79.8,198.0
B580.,C79.0,198.0
B582.,C79.2,198.7
B5822,C79.2,198.7
B5830,C79.3,198.5
B5832,C79.3,198.5
B583z,C79.3,198.5
B585.,C79.5,198.6
B587.,C79.7,198.0
B58y.,C79.8,198.0
B58y0,C79.8,198.0
B58y1,C79.8,198.0
B58y4,C79.8,198.0
B58y5,C79.8,198.0
B58yz,C79.8,198.0
B58z.,C79.8,198.0
B5y..,C80,195.1
B5z..,C80,195.1
B601.,C85.9,202.2
B602.,C83.7,202.2
B61..,C81.9,201.0
B613.,C81.0,201.0
B614.,C81.1,201.0
B615.,C81.2,201.0
B617.,C81.0,201.0
B618.,C81.1,201.0
B61z0,C81.9,201.0
B61z1,C81.9,201.0
B61z4,C81.9,201.0
B61z8,C81.9,201.0
B6200,C82.9,202.21
B620z,C82.9,202.21
B621.,C84.0,202.2
B624.,C91.4,204.0
B625.,C96.0,202.0
B625.,C96.0,277.0
B627.,C85.9,202.2
B6270,C82.0,202.2
B6272,C82.2,202.2
B6277,C83.5,202.2
B627A,C83.3,202.24
B627C,C82.9,202.21
B627E,C83.3,202.24
B627W,C85.1,202.2
B627X,C83.9,202.2
B628.,C82.9,202.21
B6280,C82.0,202.2
B6281,C82.1,202.2
B62F0,C83.0,202.2
B62F1,C83.1,202.2
B62xX,C84.5,202.2
B62y.,C85.9,202.2
B62yz,C85.9,202.2
B630.,C90.0,204.4
B6300,C90.2,204.4
B6303,C90.0,204.4
B64..,C91.9,204.1
B640.,C91.0,204.11
B641.,C91.1,204.12
B6410,C91.1,204.12
B6411,C91.1,204.12
B6413,C91.1,204.12
B64y.,C91.7,204.1
B64z.,C91.9,204.1
B65..,C92.9,204.2
B650.,C92.0,204.21
B651.,C92.1,204.22
B651z,C92.1,204.22
B65z.,C92.9,204.2
B66..,C93.9,204.3
B67..,C94.7,204.0
B675.,C94.4,200.0
B67y.,C95.9,204.0
B67z.,C94.7,204.0
B68..,C95.9,204.0
B680.,C95.0,204.0
B681.,C95.1,204.0
B68z.,C95.9,204.0
B691.,C93.1,204.3
B6y0.,D47.1,200.0
B6z..,C96.9,202.2
B6z0.,C46.3,230.0
B7...,D36.9,229.0
B70..,D10,210.0
B700.,D10.0,210.0
B7001,D10.0,210.0
B7004,D10.0,210.0
B700z,D10.0,210.0
B701.,D10.1,210.0
B702.,D11,210.0
B7020,D11.0,210.0
B7021,D11.7,210.0
B7023,D11.9,210.0
B703.,D10.2,210.0
B704.,D10.3,210.0
B7040,D10.3,210.0
B7041,D10.3,210.0
B7042,D10.3,210.0
B7044,D10.3,210.0
B7045,D10.3,210.0
B7046,D10.3,210.0
B7060,D10.5,210.0
B7063,D10.5,210.0
B707.,D10.6,210.0
B71..,D13.9,211.0
B710.,D13.0,211.0
B711.,D13.1,211.0
B7111,D13.1,211.0
B711z,D13.1,211.0
B712.,D13.9,211.0
B7120,D13.2,211.0
B7121,D13.3,211.0
B7121,D13.3,229.0
B713.,D12.6,208.0
B7130,D12.3,208.0
B7131,D12.3,208.0
B7132,D12.4,208.0
B7133,D12.5,208.0
B7134,D12.0,208.0
B7137,D12.3,208.0
B713z,D12.6,208.0
B7140,D12.7,208.0
B7141,D12.8,208.0
B7142,D12.9,208.0
B7150,D13.4,211.0
B7158,K76.8,573.0
B716.,D13.6,211.0
B7161,D13.6,211.0
B717.,D13.7,211.0
B7170,D13.7,211.0
B72..,D14.4,212.0
B720.,D14.0,212.0
B7200,D14.0,212.0
B721.,D14.1,212.0
B7212,D14.1,212.0
B721z,D14.1,212.0
B723.,D14.3,212.0
B7233,D14.3,212.0
B723z,D14.3,212.0
B724.,D15.7,212.0
B725.,D15.2,212.0
B725z,D15.2,212.0
B727.,D15.1,212.0
B728.,D15.1,212.0
B73..,D16.9,213.0
B7304,D16.4,213.0
B7306,D16.4,213.0
B730B,D16.4,213.0
B730z,D16.4,213.0
B7310,D16.5,213.0
B733.,D16.7,213.0
B7335,D16.7,213.0
B7343,D16.0,213.0
B7350,D16.1,213.0
B7358,D16.0,213.0
B7372,D16.2,213.0
B7380,D16.3,213.0
B7382,D16.3,213.0
B73z.,D16.9,213.0
B74..,D17.9,214.0
B740.,D17.0,214.1
B7400,D17.0,214.1
B7402,D17.0,214.1
B7407,D17.0,214.1
B740z,D17.0,214.1
B741.,D17.7,214.0
B7410,D17.0,214.1
B7411,D17.0,214.1
B7412,D17.1,214.1
B7413,D17.1,214.1
B7414,D17.1,214.1
B7415,D17.2,214.1
B7416,D17.2,214.1
B7417,D17.2,214.1
B7419,D17.1,214.1
B741A,D17.1,214.1
B741B,D17.1,214.1
B741C,D17.1,214.1
B741E,D17.2,214.1
B741F,D17.2,214.1
B741G,D17.2,214.1
B741H,D17.2,214.1
B741J,D17.1,214.1
B741K,D17.1,214.1
B741L,D17.1,214.1
B741z,D17.3,229.0
B741z,D17.3,214.1
B744.,D17.6,214.0
B74y.,D17.7,214.0
B74z.,D17.9,214.0
B75..,D21.9,215.0
B752.,D21.2,215.0
B7522,D21.2,215.0
B7550,D21.5,215.0
B75y.,D21.9,215.0
B76..,D23.9,216.0
B760.,D23.0,216.0
B761.,D23.1,216.0
B7610,D23.1,216.0
B762.,D23.2,216.0
B763.,D23.3,216.0
B7630,D23.3,216.0
B7631,D23.3,216.0
B7632,D23.3,216.0
B7633,D23.3,216.0
B7634,D23.3,216.0
B7635,D23.3,216.0
B763z,D23.3,216.0
B764.,D23.4,216.0
B7640,D23.4,216.0
B7641,D23.4,216.0
B765.,D23.5,216.0
B7650,D23.5,216.0
B7651,D23.5,216.0
B7652,D23.5,216.0
B7653,D23.5,216.0
B7655,D23.5,216.0
B7656,D23.5,216.0
B7657,D23.5,216.0
B7659,D23.5,216.0
B765z,D23.9,216.0
B766.,D23.6,216.0
B7660,D23.6,216.0
B7661,D23.6,216.0
B7662,D23.6,216.0
B7663,D23.6,216.0
B766z,D23.6,216.0
B767.,D23.7,216.0
B7671,D23.7,216.0
B7672,D23.7,216.0
B7673,D23.7,216.0
B7674,D23.7,216.0
B768.,D22.9,216.0
B7680,D22.0,216.0
B7683,D22.3,229.0
B7683,D22.3,216.0
B7684,D22.4,216.0
B7685,D22.5,216.0
