ctv3_code,icd10_code,phecode
B327z,C43.7,172.11
B32y.,C43.9,172.11
B32z.,C43.9,172.11
B33..,C44.9,172.2
B330.,C44.0,172.2
B331.,C44.1,172.2
B332.,C44.2,172.2
B3320,C44.2,172.2
B333.,C44.3,172.2
B3330,C44.3,172.2
B3331,C44.3,172.2
B3332,C44.3,172.2
B3333,C44.3,172.2
B3334,C44.3,172.2
B3335,C44.3,172.2
B333z,C44.3,172.2
B3340,C44.4,172.2
B3341,C44.4,172.2
B334z,C44.4,172.2
B335.,C44.5,172.2
B3351,C44.5,172.2
B3352,C44.5,172.2
B3353,C44.5,172.2
B3356,C44.5,172.2
B3357,C44.5,172.2
B336.,C44.6,172.2
B3360,C44.6,172.2
B3362,C44.6,172.2
B3365,C44.6,172.2
B337.,C44.7,172.2
B3371,C44.7,172.2
B3374,C44.7,172.2
B33y.,C44.9,172.2
B33z.,C44.9,172.2
B34..,C50.9,174.11
B340.,C50.0,174.11
B3400,C50.0,174.11
B341.,C50.1,174.11
B342.,C50.2,174.11
B343.,C50.3,174.11
B344.,C50.4,174.11
B345.,C50.5,174.11
B346.,C50.6,174.11
B347.,C50.8,174.11
B34y.,C50.9,174.11
B34yz,C50.9,174.11
B34z.,C50.9,174.11
B35..,C50.9,174.11
B35zz,C50.9,174.11
B40..,C55,182
B41..,C53.9,180.1
B410.,C53.0,180.1
B4100,C53.0,180.1
B410z,C53.0,180.1
B411.,C53.1,180.1
B41y.,C53.9,180.1
B41z.,C53.9,180.1
B420.,C58,184.1
B43..,C55,182
B430.,C54.3,182
B4301,C54.3,182
B4302,C54.1,182
B430z,C54.9,182
B432.,C54.8,182
B43y.,C54.9,182
B43z.,C54.9,182
B44..,C57.8,184.1
B440.,C56,184.11
B441.,C57.0,184.1
B450.,C52,184.2
B451.,C51.0,184.2
B4510,C51.0,184.2
B454.,C51.9,184.2
B45z.,C57.9,184.1
B46..,C61,185
B47..,C62.9,187.2
B470.,C62.0,187.2
B4701,C62.0,187.2
B471.,C62.1,187.2
B47z.,C62.9,187.2
B480.,C60.0,187.1
B481.,C60.1,187.1
B482.,C60.2,187.1
B483.,C60.9,187.1
B485.,C63.1,187.1
B48y0,C63.7,187.1
B48yz,C63.9,187.1
B49..,C67.9,189.21
B490.,C67.0,189.21
B491.,C67.1,189.21
B492.,C67.2,189.21
B493.,C67.3,189.21
B494.,C67.4,189.21
B495.,C67.5,189.21
B496.,C67.6,189.21
B49y.,C67.9,189.21
B49z.,C67.9,189.21
B4A..,C64,189.11
B4A0.,C64,189.11
B4A00,C64,189.11
B4A1.,C65,189.12
B4A10,C65,189.12
B4A1z,C65,189.12
B4A2.,C66,189.4
B4A3.,C68.0,189.4
B4Az.,C68.9,189.4
B50..,C69.9,190
B5000,C69.4,190
B5001,C69.4,190
B501.,C69.6,190
B503.,C69.0,190
B505.,C69.2,190
B506.,C69.3,190
B5070,C69.5,190
B50y.,C69.9,190
B50z.,C69.9,190
B510.,C71.0,191.11
B5100,C71.0,191.11
B510z,C71.0,191.11
B511.,C71.1,191.11
B512.,C71.2,191.11
B513.,C71.3,191.11
B514.,C71.4,191.11
B516.,C71.6,191.11
B517.,C71.7,191.11
B51z.,C71.9,191.11
B52..,C72.9,191.1
B522.,C72.0,191.1
B5241,C47.1,170.2
B5242,C47.2,170.2
B525.,C72.1,191.1
B53..,C73,193
B540.,C74.9,194
B5400,C74.0,194
B541.,C75.0,194
B5420,C75.1,194
B550.,C76.0,195.3
B5500,C76.0,195.3
B5501,C76.0,195.3
B5503,C76.0,195.3
B5504,C76.0,195.3
B5510,C76.1,164
B552.,C76.2,195.1
B553.,C76.3,195.1
B554.,C76.4,195.1
B55yz,C76.7,195.1
B5602,C77.0,198.1
B5608,C77.0,198.1
B5619,C77.1,198.1
B562.,C77.2,198.1
B563.,C77.3,198.1
B5630,C77.3,198.1
B564.,C77.4,198.1
B5640,C77.4,198.1
B56z.,C77.9,198.1
B570.,C78.0,198.2
B571.,C78.1,198.2
B572.,C78.2,198.2
B5750,C78.5,198.3
B576.,C78.6,198.3
B5760,C78.6,198.3
B5761,C78.6,198.3
B577.,C78.7,198.4
B58..,C79.8,198
B580.,C79.0,198
B5810,C79.1,198
B5811,C79.1,198
B582.,C79.2,198.7
B582z,C79.2,198.7
B5830,C79.3,198.5
B5831,C79.4,198.5
B585.,C79.5,198.6
B586.,C79.6,198
B587.,C79.7,198
B58y0,C79.8,198
B58y5,C79.8,198
B58y6,C79.8,198
B58yz,C79.8,198
B600.,C83.3,202.24
B601.,C85.9,202.2
B602.,C83.7,202.2
B602z,C83.7,202.2
B61..,C81.9,201
B6103,C81.0,201
B6110,C81.9,201
B6111,C81.9,201
B612.,C81.3,201
B6131,C81.0,201
B614.,C81.1,201
B6141,C81.1,201
B6142,C81.1,201
B614z,C81.1,201
B615.,C81.2,201
B61z.,C81.9,201
B61z0,C81.9,201
B61z1,C81.9,201
B6200,C82.9,202.21
B6207,C82.9,202.21
B621.,C84.0,202.2
B6210,C84.0,202.2
B621z,C84.0,202.2
B624.,C91.4,204
B625.,C96.0,202
B625.,C96.0,277
B626.,C96.2,202
B627.,C85.9,202.2
B6275,C85.9,202.2
B6278,C83.9,202.2
B627B,C82.7,202.2
B62y0,C85.9,202.2
B62y1,C85.9,202.2
B62y3,C85.9,202.2
B62y6,C85.9,202.2
B62z.,C96.9,202.2
B630.,C90.0,204.4
B64..,C91.9,204.1
B640.,C91.0,204.11
B641.,C91.1,204.12
B642.,C91.9,204.1
B64y2,C91.5,204.1
B65..,C92.9,204.2
B650.,C92.0,204.21
B651.,C92.1,204.22
B65y1,C92.4,204.21
B66..,C93.9,204.3
B67..,C94.7,204
B67z.,C94.7,204
B68..,C95.9,204
B680.,C95.0,204
B681.,C95.1,204
B68z.,C95.9,204
B69..,C92.5,204.21
B690.,C92.5,204.21
B691.,C93.1,204.3
B6y..,C96.7,202.2
B6z..,C96.9,202.2
B7...,D36.9,229
B700.,D10.0,210
B7001,D10.0,210
B7005,D10.0,210
B700z,D10.0,210
B701.,D10.1,210
B7010,D10.1,210
B7013,D10.1,210
B701z,D10.1,210
B7020,D11.0,210
B7021,D11.7,210
B703.,D10.2,210
B704.,D10.3,210
B7040,D10.3,210
B7041,D10.3,210
B7042,D10.3,210
B7044,D10.3,210
B7045,D10.3,210
B7046,D10.3,210
B705.,D10.4,210
B7061,D10.5,210
B706z,D10.5,210
B7071,D10.6,210
B71..,D13.9,211
B711.,D13.1,211
B7111,D13.1,211
B7112,D13.1,211
B7113,D13.1,211
B711z,D13.1,211
B712.,D13.9,211
B7120,D13.2,211
B713.,D12.6,208
B7130,D12.3,208
B7131,D12.3,208
B7132,D12.4,208
B7133,D12.5,208
B7134,D12.0,208
B7136,D12.2,208
B7138,D12.6,208
B713z,D12.6,208
B714.,D12.9,208
B7140,D12.7,208
B7141,D12.8,208
B7142,D12.9,208
B714z,D13.9,211
B7150,D13.4,211
B7153,D13.5,211
B7155,D13.5,211
B71z.,D13.9,211
B7200,D14.0,212
B7203,D14.0,212
B7204,D14.0,212
B7212,D14.1,212
B7216,D14.1,212
B7232,D14.3,212
B7234,D14.3,212
B727.,D15.1,212
B73..,D16.9,213
B7301,D16.4,213
B7304,D16.4,213
B7308,D16.4,213
B730B,D16.4,213
B731.,D16.5,213
B7310,D16.5,213
B7322,D16.6,213
B7333,D16.7,213
B7334,D16.7,213
B7340,D16.0,213
B7341,D16.0,213
B7351,D16.1,213
B7358,D16.0,213
B7359,D16.0,213
B7362,D16.8,213
B737.,D16.2,213
B7370,D16.2,213
B7382,D16.3,213
B73z.,D16.9,213
B74..,D17.9,214
B740.,D17.0,214.1
B7400,D17.0,214.1
B7402,D17.0,214.1
B7404,D17.0,214.1
B7405,D17.0,214.1
B7406,D17.0,214.1
B740z,D17.0,214.1
B741.,D17.3,229
B741.,D17.3,214.1
B7410,D17.0,214.1
B7411,D17.0,214.1
B7412,D17.1,214.1
B7413,D17.1,214.1
B7414,D17.1,214.1
B7415,D17.2,214.1
B7416,D17.2,214.1
B7417,D17.2,214.1
B7418,D17.2,214.1
B7419,D17.1,214.1
B741A,D17.1,214.1
B741C,D17.1,214.1
B741D,D17.2,214.1
B741E,D17.2,214.1
B741F,D17.2,214.1
B741G,D17.2,214.1
B741H,D17.2,214.1
B741z,D17.3,229
B741z,D17.3,214.1
B742.,D17.4,214
B743.,D17.5,214
B744.,D17.6,214
B74y.,D17.7,214
B74y0,D17.7,214
B74y2,D17.7,214
B74y3,D17.7,214
B74z.,D17.9,214
B75..,D21.9,215
B7502,D21.0,215
B751.,D21.1,215
B7513,D21.1,215
B7551,D21.5,215
B7552,D21.5,215
B755z,D21.5,215
B760.,D23.0,216
B761.,D23.1,216
B7620,D23.2,216
B7621,D23.2,216
B762z,D23.2,216
B763.,D23.3,216
B7630,D23.3,216
B7631,D23.3,216
B7632,D23.3,216
B7633,D23.3,216
B7634,D23.3,216
B7635,D23.3,216
B763z,D23.3,216
B764.,D23.4,216
B7640,D23.4,216
B7641,D23.4,216
B764z,D23.4,216
B765.,D23.5,216
B7650,D23.5,216
B7651,D23.5,216
B7652,D23.5,216
B7653,D23.5,216
B7654,D23.5,216
B7655,D23.5,216
B7657,D23.5,216
B7658,D23.5,216
B7659,D23.5,216
B765z,D23.9,216
B766.,D23.6,216
B7660,D23.6,216
B7661,D23.6,216
B7662,D23.6,216
B7663,D23.6,216
B766z,D23.6,216
B767.,D23.7,216
B7670,D23.7,216
B7671,D23.7,216
B7672,D23.7,216
B7673,D23.7,216
B7674,D23.7,216
B767z,D23.7,216
B7680,D22.0,216
B7681,D22.1,216
B7682,D22.2,216
B7683,D22.3,229
B7683,D22.3,216
B7684,D22.4,216
B7685,D22.5,216
B7686,D22.6,216
